device,app_version,device_id,os_version,page,tag,op,udid,stamp
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_shorthand,start_online_shorthand,auto,5024040460072691,2018-06-03 09:33:41
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_shorthand,open_shorthand_page,click,5024040460072691,2018-06-03 09:33:43
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_shorthand,click_finish_record_button,click,5024040460072691,2018-06-03 09:33:45
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_ble,ble_data_download,auto,5024040460072691,2018-06-03 09:33:47
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_shorthand,online_shorthand_duration,,5024040460072691,2018-06-03 09:33:49
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:33:50
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:33:53
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:33:55
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:33:56
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:33:58
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:34:00
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_home,click_record_item,click,5024040460072691,2018-06-03 09:34:01
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:34:03
android,1.0.8,e59969de8b2bb95e,26,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460089011,2018-06-03 09:34:03
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,click_play_button,click,5024040460160711,2018-06-03 09:34:06
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460160711,2018-06-03 09:34:14
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:34:15
android,1.0.8,e59969de8b2bb95e,26,tr_BLE,ble_data_download,auto,5024040460089011,2018-06-03 09:34:15
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,action_created_dialog,auto,5024040460160711,2018-06-03 09:34:17
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460160711,2018-06-03 09:34:22
android,1.0.8,e59969de8b2bb95e,26,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460089011,2018-06-03 09:34:22
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:34:23
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,action_created_dialog,auto,5024040460160711,2018-06-03 09:34:25
android,1.0.8,e59969de8b2bb95e,26,tr_BLE,ble_data_download,auto,5024040460089011,2018-06-03 09:34:30
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460160711,2018-06-03 09:34:32
android,1.0.8,daaaa835de54b24e,25,tr_BLE,ble_data_download,auto,5024040460160711,2018-06-03 09:34:33
android,1.0.8,daaaa835de54b24e,25,tr_translate_dialog,action_created_dialog,auto,5024040460160711,2018-06-03 09:34:35
android,1.0.8,daaaa835de54b24e,25,tr_home,show_OTA_upgrade_tip,auto,5024040460160711,2018-06-03 09:34:44
ios,1.1.3,6b5e85222d2dca16c02a0fa5bc103c178e286fa5,11.4,tr_init,connection_successful,auto,5024040460087211,2018-06-03 09:34:46
android,1.0.8,daaaa835de54b24e,25,tr_home,click_synctranslate,click,5024040460160711,2018-06-03 09:34:46
android,1.0.8,daaaa835de54b24e,25,tr_sync_translate,action_start_synctranslate,auto,5024040460160711,2018-06-03 09:34:46
android,1.0.8,e59969de8b2bb95e,26,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460089011,2018-06-03 09:34:46
ios,1.1.3,5acdd1ec37437dbb66cbf787050822ffe8130285,10.3.3,tr_shorthand,online_shorthand_duration,,5024040460072691,2018-06-03 09:34:47
android,1.0.8,daaaa835de54b24e,25,tr_sync_translate,action_successed_synctranslate,auto,5024040460160711,2018-06-03 09:34:47
android,1.0.8,e59969de8b2bb95e,26,tr_BLE,ble_data_download,auto,5024040460089011,2018-06-03 09:34:51
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:34:55
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,action_created_dialog,auto,5024040460154861,2018-06-03 09:34:56
ios,1.1.3,6b5e85222d2dca16c02a0fa5bc103c178e286fa5,11.4,tr_translate_dialog,trpen_start_dialog_B,auto,5024040460087211,2018-06-03 09:34:58
ios,1.1.3,6b5e85222d2dca16c02a0fa5bc103c178e286fa5,11.4,tr_ble,ble_data_download,auto,5024040460087211,2018-06-03 09:35:00
android,1.0.8,6f1bbed625c70e6b,24,tr_translate_dialog,trpen_start_dialog_A,auto,5024040460154861,2018-06-03 09:35:00
android,1.0.8,6f1bbed625c70e6b,24,tr_BLE,ble_data_download,auto,5024040460154861,2018-06-03 09:35:01
